Date,Open,High,Low,Close,Adj Close,Volume
2006-05-22,36.520000,37.290001,35.869999,37.230000,33.280136,197100
2006-05-23,37.750000,39.220001,37.750000,37.959999,33.932686,620900
2006-05-24,37.130001,37.570000,35.869999,36.520000,32.645458,638600
2006-05-25,37.180000,38.320000,36.980000,38.320000,34.254494,367000
2006-05-26,38.740002,38.740002,37.770000,38.549999,34.460087,269400
2006-05-30,39.500000,39.720001,38.110001,38.169998,34.120399,559100
2006-05-31,38.900002,39.130001,38.119999,38.849998,34.728264,350700
2006-06-01,37.200001,38.580002,37.169998,38.529999,34.442215,641300
2006-06-02,39.310001,39.389999,38.799999,39.130001,34.978554,277300
2006-06-05,40.270000,40.270000,38.099998,38.130001,34.084656,436000
2006-06-06,38.029999,38.029999,36.720001,37.009998,33.083473,663600
2006-06-07,36.310001,37.549999,35.820000,36.139999,32.305779,484100
2006-06-08,35.270000,35.380001,33.619999,35.270000,31.528082,812800
2006-06-09,35.750000,36.189999,34.860001,35.070000,31.349295,542200
2006-06-12,35.480000,35.630001,33.759998,33.779999,30.196159,584700
2006-06-13,32.660000,33.150002,31.820000,32.200001,28.783787,1580900
2006-06-14,32.849998,33.500000,32.250000,33.029999,29.525724,646800
2006-06-15,34.400002,35.049999,34.000000,34.939999,31.233093,882200
2006-06-16,35.000000,35.000000,34.299999,34.570000,30.902346,602300
2006-06-19,34.169998,34.470001,33.570000,33.599998,30.035252,366100
2006-06-20,33.910000,34.730000,33.599998,34.340000,30.696749,388500
2006-06-21,34.599998,36.040001,34.599998,35.860001,32.055481,551000
2006-06-22,36.000000,36.209999,35.169998,35.639999,31.858826,590000
2006-06-23,35.169998,36.500000,35.150002,36.279999,32.430920,467800
2006-06-26,36.619999,36.799999,36.150002,36.630001,32.743786,301500
2006-06-27,36.970001,37.049999,35.480000,35.480000,31.715805,469200
2006-06-28,35.700001,35.930000,35.000000,35.310001,31.563835,415200
2006-06-29,35.950001,37.959999,35.939999,37.959999,33.932686,588500
2006-06-30,38.700001,39.060001,38.320000,38.700001,34.594181,1069400
2006-07-03,39.400002,40.230000,39.320000,40.230000,35.961853,561200
2006-07-05,40.099998,40.459999,38.849998,39.369999,35.193089,685600
2006-07-06,39.500000,39.990002,39.040001,39.730000,35.514900,411100
2006-07-07,39.680000,39.880001,38.950001,39.029999,34.889168,500500
2006-07-10,38.389999,39.130001,38.250000,38.669998,34.567360,401400
2006-07-11,39.029999,39.759998,38.790001,39.759998,35.541714,512700
2006-07-12,40.110001,40.459999,39.369999,39.490002,35.300365,519500
